company,company_href,declaration_date,operation,instrument,amount_from_main,author,operation_date,quantity,price_eur,total_value_eur,comments,scraped_page,scraped_at,operation_date_parsed,declaration_date_parsed
Roche Bobois,/marches/transactions_dirigeants/FR0013344173p,24/07/2025,Acquisition,Action,43413.0,"Auteur:TXR S.R.L.  personne morale liée à Giovanni Tamburi, Membre du Conseil de Surveillance",23/07/2025,1200,36.18,43416.0,,1,2025-07-27 20:57:00,2025-07-23,2025-07-24
Roche Bobois,/marches/transactions_dirigeants/FR0013344173p,24/07/2025,Acquisition,Action,142400.0,"Auteur:SOCIETE PATRIMONIALE ROCHE SPR SOCIETE ANONYME, Membre du conseil de surveillance",24/07/2025,4000,35.6,142400.0,"Par ailleurs, la Société Patrimoniale Roche, SPR, est étroitement liée à Mr. Nicolas Roche, vice-Président du Conseil de Roche Bobois SA, et à Mr. Antonin Roche, membre du Directoire de Roche Bobois SA.",1,2025-07-27 20:57:00,2025-07-24,2025-07-24
Klea Holding,/marches/transactions_dirigeants/FR0013481835p,24/07/2025,Acquisition,Action,9170.0,"Auteur:LORO SAS  personne morale liée à RAPHAEL SMILA, PDG",24/07/2025,50000,0.18,9000.0,,1,2025-07-27 20:57:00,2025-07-24,2025-07-24
Advicenne,/marches/transactions_dirigeants/FR0013296746p,23/07/2025,Souscription,Action,999999.0,"Auteur:BPIFRANCE INVESTISSEMENT SAS, Administrateur",21/07/2025,740740,1.35,999999.0000000001,"Monsieur Philippe Boucheron, salarié de Bpifrance Investissement, détient un mandat de Président du Conseil d'administration de lasociété ADVICENNE Bpifrance Investissement, détient un mandat d'administrateur du Conseil d'administration de la société ADVICENNE, représentée par Monsieur Thibaut Roulon, salarié de Bpifrance Investissement",1,2025-07-27 20:57:00,2025-07-21,2025-07-23
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,23/07/2025,Acquisition,Action,10205.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",22/07/2025,500,20.41,10205.0,": Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",1,2025-07-27 20:57:00,2025-07-22,2025-07-23
Touax,/marches/transactions_dirigeants/FR0000033003p,23/07/2025,Acquisition,Action,12879.0,"Auteur:SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME personne morale liée à RAPHAEL COLONNAWALEWSKI, GERANT",22/07/2025,2500,5.15,12875.0,,1,2025-07-27 20:57:00,2025-07-22,2025-07-23
Hydro-Exploit.,/marches/transactions_dirigeants/FR0005843125p,23/07/2025,Acquisition,Action,321.0,"Auteur:POTAMOS SAS personne morale liée à François BARTHE, Président Directeur Général",02/07/2025,3,107.0,321.0,,1,2025-07-27 20:57:00,2025-07-02,2025-07-23
Vivendi,/marches/transactions_dirigeants/FR0000127771p,22/07/2025,Acquisition,Parts du FCPE Relais Vivendi Epargne 2025*,46830.0,"Auteur:VINCENT BOLLORE, Conseiller du Président du Directoire de Vivendi SE",17/07/2025,3826,12.24,46830.24,"* Acquisition le 17 juillet 2025 par le gérant du FCPE Relais Vivendi Epargne 2025 dans le cadre de l’opération d’actionnariat réservée aux salariés et mandataires sociaux des sociétés françaises du groupe Vivendi adhérant au Plan d’Epargne Groupe, à la suite du versement, irrévocable depuis le 17 juin 2025, effectué par le déclarant pendant la période de versement ouverte du 2 juin au 16 juin 2025.",1,2025-07-27 20:57:00,2025-07-17,2025-07-22
Bernard Loiseau,/marches/transactions_dirigeants/FR0000066961p,22/07/2025,Acquisition,Action,3244.0,"Auteur:SAS RANAE SAS, Administrateur",19/05/2025,958,3.39,3247.6200000000003,,1,2025-07-27 20:57:00,2025-05-19,2025-07-22
Constructeurs du bois,/marches/transactions_dirigeants/FR00140007I9p,22/07/2025,Cession,Action,3.0,"Auteur:CFD CAPITAL SARL personne morale liée à FRANCOIS DUCHAINE, Président",21/07/2025,1,3.46,3.46,,1,2025-07-27 20:57:00,2025-07-21,2025-07-22
Bluelinea,/marches/transactions_dirigeants/FR0011041011p,22/07/2025,Souscription,Action,744223.0,"Auteur:APICIL MUTUELLE MUTUELLE, ACTIONNAIRE MAJORITAIRE REPRESENTE AU CS",22/07/2025,1488445,0.5,744222.5,Souscription à l'augmentation de capital.,1,2025-07-27 20:57:00,2025-07-22,2025-07-22
Bluelinea,/marches/transactions_dirigeants/FR0011041011p,22/07/2025,Souscription,Action,2271774.0,"Auteur:APICIL PREVOYANCE INSTITUTION DE PREVOYANCE, ACTIONNAIRE MAJORITAIRE REPRESENTE AU CS",22/07/2025,4543548,0.5,2271774.0,Souscription à l'augmentation de capital.,1,2025-07-27 20:57:00,2025-07-22,2025-07-22
Charwood Energy,/marches/transactions_dirigeants/FR001400AJ60p,22/07/2025,Cession,Action,3.0,"Auteur:1M86 SAS personne morale liée à Luc MILBERGUE, Président",21/07/2025,1,2.94,2.94,,1,2025-07-27 20:57:00,2025-07-21,2025-07-22
Moulinvest,/marches/transactions_dirigeants/FR0011033083p,21/07/2025,Acquisition,Action,20085.0,"Auteur:maurice moulin, PRESIDENT",21/07/2025,1000,20.09,20090.0,,1,2025-07-27 20:57:00,2025-07-21,2025-07-21
Catana Group,/marches/transactions_dirigeants/FR0010193052p,21/07/2025,Acquisition,Action,10527.0,"Auteur:APLR HOLDING SASU personne morale liée à Aurelien Poncin, PDG",21/07/2025,3012,3.5,10542.0,,2,2025-07-27 20:57:01,2025-07-21,2025-07-21
Constructeurs du bois,/marches/transactions_dirigeants/FR00140007I9p,21/07/2025,Acquisition,Action,1361.0,"Auteur:CFD CAPITAL SARL personne morale liée à FRANCOIS DUCHAINE, Président",18/07/2025,415,3.28,1361.1999999999998,,2,2025-07-27 20:57:01,2025-07-18,2025-07-21
Believe,/marches/transactions_dirigeants/FR0014003FE9p,21/07/2025,Acquisition,Action,327385.0,"Auteur:Upbeat BidCo SAS SAS personne morale liée à DENIS LADEGAILLERIE, Président-Directeur Général",21/07/2025,19034,17.2,327384.8,"Upbeat BidCo SAS, personne morale étroitement liée à Denis Ladegaillerie, Président-directeur général, John Doran et Andrew Fisher, administrateurs",2,2025-07-27 20:57:01,2025-07-21,2025-07-21
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,21/07/2025,Acquisition,Action,10315.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée personne morale liée à Antoine FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",21/07/2025,500,20.63,10315.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",2,2025-07-27 20:57:01,2025-07-21,2025-07-21
Touax,/marches/transactions_dirigeants/FR0000033003p,21/07/2025,Acquisition,Action,2500.0,"Auteur:SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME personne morale liée à RAPHAEL COLONNAWALEWSKI, GERANT",21/07/2025,500,5.0,2500.0,,2,2025-07-27 20:57:01,2025-07-21,2025-07-21
Vivendi,/marches/transactions_dirigeants/FR0000127771p,21/07/2025,Acquisition,Fonds Relais Vivendi Epargne 2025,29425.0,"Auteur:Frédéric CREPIN, Membre du Directoire",17/07/2025,2404,12.24,29424.96,"Acquisition le 17 juillet 2025 par le gérant du FCPE Relais Vivendi Epargne 2025 dans le cadre de l’opération d’actionnariatréservée aux salariés et mandataires sociaux des sociétés françaises du groupe Vivendi adhérant au Plan d’Epargne Groupe, à la suite du versement, irrévocable depuis le 17 juin 2025, effectué par le déclarant pendant la période de versement ouverte du 2 juin au 16 juin 2025.",2,2025-07-27 20:57:01,2025-07-17,2025-07-21
Vivendi,/marches/transactions_dirigeants/FR0000127771p,21/07/2025,Acquisition,Fonds Relais Vivendi Epargne 2025,125815.0,"Auteur:Arnaud de PUYFONTAINE, Président du Directoire",17/07/2025,10279,12.24,125814.96,"Acquisition le 17 juillet 2025 par le gérant du FCPE Relais Vivendi Epargne 2025 dans le cadre de l’opération d’actionnariatréservée aux salariés et mandataires sociaux des sociétés françaises du groupe Vivendi adhérant au Plan d’Epargne Groupe, à la suite du versement, irrévocable depuis le 17 juin 2025, effectué par le déclarant pendant la période de versement ouverte du 2 juin au 16 juin 2025.",2,2025-07-27 20:57:01,2025-07-17,2025-07-21
Vivendi,/marches/transactions_dirigeants/FR0000127771p,21/07/2025,Acquisition,Fonds Relais Vivendi Epargne 2025,151421.0,"Auteur:François Laroze, Membre du Directoire",17/07/2025,12371,12.24,151421.04,"Acquisition le 17 juillet 2025 par le gérant du FCPE Relais Vivendi Epargne 2025 dans le cadre de l’opération d’actionnariatréservée aux salariés et mandataires sociaux des sociétés françaises du groupe Vivendi adhérant au Plan d’Epargne Groupe, à la suite du versement, irrévocable depuis le 17 juin 2025, effectué par le déclarant pendant la période de versement ouverte du 2 juin au 16 juin 2025.",2,2025-07-27 20:57:01,2025-07-17,2025-07-21
Streamwide,/marches/transactions_dirigeants/FR0010528059p,20/07/2025,Cession,Action,1542800.0,"Auteur:OKHEMA SAS personne morale liée à LILIAN GAICHIES, Directeur général délégué",16/07/2025,29000,53.2,1542800.0,,2,2025-07-27 20:57:01,2025-07-16,2025-07-20
Catana Group,/marches/transactions_dirigeants/FR0010193052p,18/07/2025,Acquisition,Action,1715.0,"Auteur:APLR HOLDING SASU personne morale liée à Aurelien Poncin, PDG",17/07/2025,506,3.39,1715.3400000000001,,2,2025-07-27 20:57:01,2025-07-17,2025-07-18
Catana Group,/marches/transactions_dirigeants/FR0010193052p,18/07/2025,Acquisition,Action,6139.0,"Auteur:APLR HOLDING SASU personne morale liée à Aurelien Poncin, PDG",18/07/2025,1794,3.42,6135.48,,2,2025-07-27 20:57:01,2025-07-18,2025-07-18
Bluelinea,/marches/transactions_dirigeants/FR0011041011p,18/07/2025,Acquisition,Action,66702.0,"Auteur:APICIL MUTUELLE MUTUELLE, ACTIONNAIRE MAJORITAIRE REPRESENTE AU CS",26/06/2025,145005,0.46,66702.3,,2,2025-07-27 20:57:01,2025-06-26,2025-07-18
Bluelinea,/marches/transactions_dirigeants/FR0011041011p,18/07/2025,Acquisition,Action,224047.0,"Auteur:APICIL PREVOYANCE INSTITUTION DE PREVOYANCE, ACTIONNAIRE MAJORITAIRE REPRESENTE AU CS",10/07/2025,487059,0.46,224047.14,,2,2025-07-27 20:57:01,2025-07-10,2025-07-18
Uv Germi,/marches/transactions_dirigeants/FR0011898584p,18/07/2025,ATTRIBUTION D'ACTION A TITRE GRATUIT,Action,26800.0,"Auteur:WILLY FORTUNATO, DIRECTEUR GENERAL",16/01/2025,10000,2.68,26800.0,,2,2025-07-27 20:57:01,2025-01-16,2025-07-18
Uv Germi,/marches/transactions_dirigeants/FR0011898584p,18/07/2025,APPORT EN NATURE AU CAPITAL DE LA SOCIETE ORIGINE,Action,183170.0,"Auteur:WILLY FORTUNATO, DIRECTEUR GENERAL",23/06/2025,73268,2.5,183170.0,APPORT EN NATURE PAR WILLY FORTUNATO A LA SARL ORIGINE DE 73268 TITRES UV GERMI,2,2025-07-27 20:57:01,2025-06-23,2025-07-18
Uv Germi,/marches/transactions_dirigeants/FR0011898584p,18/07/2025,Cession,Action,713724.0,"Auteur:ANDRE BORDAS, PRESIDENT",15/07/2025,287792,2.48,713724.16,,2,2025-07-27 20:57:01,2025-07-15,2025-07-18
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,18/07/2025,Acquisition,Action,10350.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",18/07/2025,500,20.7,10350.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",2,2025-07-27 20:57:01,2025-07-18,2025-07-18
Klea Holding,/marches/transactions_dirigeants/FR0013481835p,18/07/2025,Acquisition,Action,1760.0,"Auteur:SASHA SMILA personne liée à RAPHAEL SMILA, PDG",18/07/2025,10000,0.18,1800.0,,2,2025-07-27 20:57:01,2025-07-18,2025-07-18
Locasystem Intl,/marches/transactions_dirigeants/FR0004155208p,18/07/2025,Cession,Action,800.0,"Auteur:TRADE and COMPUTER SARL, Gérant",18/07/2025,65,12.3,799.5,,2,2025-07-27 20:57:01,2025-07-18,2025-07-18
Touax,/marches/transactions_dirigeants/FR0000033003p,18/07/2025,Acquisition,Action,12500.0,"Auteur:SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME personne morale liée à RAPHAEL COLONNAWALEWSKI, GERANT",18/07/2025,2500,5.0,12500.0,,2,2025-07-27 20:57:01,2025-07-18,2025-07-18
Infotel,/marches/transactions_dirigeants/FR0000071797p,18/07/2025,Cession,Action,83694.0,"Auteur:josyane muller, ADMINISTRATEUR",15/07/2025,2220,37.7,83694.0,,2,2025-07-27 20:57:01,2025-07-15,2025-07-18
macompta.fr,/marches/transactions_dirigeants/FR001400NQB6p,18/07/2025,Cession,Action,5265.0,"Auteur:LIMULE CAPITAL SAS, PDG",17/07/2025,650,8.1,5265.0,,2,2025-07-27 20:57:01,2025-07-17,2025-07-18
Osmosun,/marches/transactions_dirigeants/FR001400IUV6p,18/07/2025,Souscription,Action,324999.0,"Auteur:CENTRE CAPITAL DEVELOPPEMENT SA personne morale liée à UI INVESTISSEMENT, Administrateur",15/07/2025,451388,0.72,324999.36,"A la suite de la réalisation de l’augmentation de capital réservée à certains actionnaires historiques à hauteur de 389.998,80 € décidée par le Conseil d’Administration d'OSMOSUN en date du 15 juillet dernier, CENTRE CAPITAL DEVELOPPEMENT a suscrit 453.388 actions nouvelles à 0,72 euro le titre, soit une souscription de 324.999,36 euros.",2,2025-07-27 20:57:01,2025-07-15,2025-07-18
macompta.fr,/marches/transactions_dirigeants/FR001400NQB6p,17/07/2025,Cession,Action,4050.0,"Auteur:LIMULE CAPITAL SAS, CEO",15/07/2025,500,8.1,4050.0,,2,2025-07-27 20:57:01,2025-07-15,2025-07-17
macompta.fr,/marches/transactions_dirigeants/FR001400NQB6p,17/07/2025,Cession,Action,10530.0,"Auteur:LIMULE CAPITAL SAS, CEO",16/07/2025,1300,8.1,10530.0,,3,2025-07-27 20:57:02,2025-07-16,2025-07-17
Bernard Loiseau,/marches/transactions_dirigeants/FR0000066961p,17/07/2025,Acquisition,Action,4745.0,"Auteur:SAS RANAE SAS, Administrateur",15/07/2025,1511,3.14,4744.54,,3,2025-07-27 20:57:02,2025-07-15,2025-07-17
Touax,/marches/transactions_dirigeants/FR0000033003p,17/07/2025,Acquisition,Action,2909.0,"Auteur:SOCIETE HOLDING DE GESTION ET DE LOCATION , GÉRANT",16/07/2025,600,4.85,2910.0,,3,2025-07-27 20:57:02,2025-07-16,2025-07-17
Believe,/marches/transactions_dirigeants/FR0014003FE9p,17/07/2025,Acquisition,Action,65601.0,"Auteur:Upbeat BidCo SAS SAS personne morale liée à DENIS LADEGAILLERIE, Président-Directeur Général",11/07/2025,3814,17.2,65600.8,"Upbeat BidCo SAS, personne morale étroitement liée à Denis Ladegaillerie, Président-directeur général, John Doran et Andrew Fisher, administrateurs",3,2025-07-27 20:57:02,2025-07-11,2025-07-17
Believe,/marches/transactions_dirigeants/FR0014003FE9p,17/07/2025,Acquisition,Action,57758.0,"Auteur:Upbeat BidCo SAS SAS personne morale liée à DENIS LADEGAILLERIE, Président-Directeur Général",15/07/2025,3358,17.2,57757.6,"Upbeat BidCo SAS, personne morale étroitement liée à Denis Ladegaillerie, Président-directeur général, John Doran et Andrew Fisher, administrateurs",3,2025-07-27 20:57:02,2025-07-15,2025-07-17
Believe,/marches/transactions_dirigeants/FR0014003FE9p,17/07/2025,Acquisition,Action,1687010.0,"Auteur:Upbeat BidCo SAS SAS personne morale liée à DENIS LADEGAILLERIE, Président-Directeur Général",17/07/2025,98082,17.2,1687010.4,"Upbeat BidCo SAS, personne morale étroitement liée à Denis Ladegaillerie, Président-directeur général, John Doran et Andrew Fisher, administrateurs",3,2025-07-27 20:57:02,2025-07-17,2025-07-17
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,17/07/2025,Acquisition,Action,10275.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",17/07/2025,500,20.55,10275.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",3,2025-07-27 20:57:02,2025-07-17,2025-07-17
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,16/07/2025,Acquisition,Action,10370.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",16/07/2025,500,20.74,10370.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",3,2025-07-27 20:57:02,2025-07-16,2025-07-16
Roche Bobois,/marches/transactions_dirigeants/FR0013344173p,16/07/2025,Acquisition,Action,3810.0,"Auteur:TXR S.R.L.  personne morale liée à Giovanni Tamburi, Membre du Conseil de Surveillance",15/07/2025,100,38.1,3810.0,,3,2025-07-27 20:57:02,2025-07-15,2025-07-16
Catana Group,/marches/transactions_dirigeants/FR0010193052p,16/07/2025,Acquisition,Action,9313.0,"Auteur:APLR HOLDING SASU personne morale liée à Aurelien Poncin, PDG",16/07/2025,2700,3.45,9315.0,,3,2025-07-27 20:57:02,2025-07-16,2025-07-16
Touax,/marches/transactions_dirigeants/FR0000033003p,16/07/2025,Acquisition,Action,2977.0,"Auteur:SOCIETE HOLDING DE GESTION ET DE PARTICIPATION SOCIETE ANONYME personne morale liée à FABRICE COLONNAWALEWSKI, GERANT",16/07/2025,615,4.84,2976.6,,3,2025-07-27 20:57:02,2025-07-16,2025-07-16
Charwood Energy,/marches/transactions_dirigeants/FR001400AJ60p,16/07/2025,Cession,Action,3.0,"Auteur:1M86 SAS personne morale liée à Luc MILBERGUE, Président",15/07/2025,1,3.0,3.0,,3,2025-07-27 20:57:02,2025-07-15,2025-07-16
CBI,/marches/transactions_dirigeants/FR0014007LW0p,16/07/2025,Cession,Action,420000.0,"Auteur:KER VENTURES EURL SARL personne morale liée à FREDERIC CHESNAIS, GENERAL MANAGER",15/07/2025,500000,0.84,420000.0,BLOCK TRADING PROGRAM TO PURCHASE BITCOINS,3,2025-07-27 20:57:02,2025-07-15,2025-07-16
Touax,/marches/transactions_dirigeants/FR0000033003p,15/07/2025,Acquisition,Action,5530.0,"Auteur:SOCIETE HOLDING DE GESTION ET DE LOCATION SOCIETE ANONYME, GERANT",15/07/2025,1152,4.8,5529.599999999999,,3,2025-07-27 20:57:02,2025-07-15,2025-07-15
Valneva,/marches/transactions_dirigeants/FR0004056851p,15/07/2025,Acquisition,Action,50808.0,"Auteur:James CONNOLLY, Member of the Board of Directors",10/07/2025,20000,2.54,50800.0,"Transaction falling within the scope of the share purchase commitment defined in Article 4 of the Board's Internal Rules (see Section 2.1.3 (a) of Valneva's 2024 Universal Registration Document, page 109 - available in French only on the Company's website www.valneva.com)",3,2025-07-27 20:57:02,2025-07-10,2025-07-15
Moulinvest,/marches/transactions_dirigeants/FR0011033083p,15/07/2025,Acquisition,Action,9725.0,"Auteur:maurice moulin, Président",15/07/2025,500,19.45,9725.0,,3,2025-07-27 20:57:02,2025-07-15,2025-07-15
Tikehau Capital,/marches/transactions_dirigeants/FR0013230612p,15/07/2025,Acquisition,Action,9995.0,"Auteur:TIKEHAU CAPITAL ADVISORS Société par actions simplifiée  personne morale liée à Antoine  FLAMARION, Président de AF&CoManagement, elle-même Gérant de Tikehau Capital",14/07/2025,500,19.99,9995.0,"Tikehau Capital Advisors est une personne étroitement liée à deux personnes dirigeantes de Tikehau Capital, à savoir : - AF&Co Management, Gérant, dont Monsieur Antoine Flamarion est le Président; et - MCH Management, Gérant, dont Monsieur Mathieu Chabran est le Président. Monsieur Antoine Flamarion est également président de la société AF&Co, elle-même Président de Tikehau Capital Advisors, et Monsieur Mathieu Chabran est également président de la société MCH, elle-même Directeur Général statutaire de Tikehau Capital Advisors. Tikehau Capital Advisors est également l'actionnaire unique de Tikehau Capital Commandité, associé commandité de Tikehau Capital.",3,2025-07-27 20:57:02,2025-07-14,2025-07-15
